frame id,xmin,ymin,xmax,ymax,class,score
1,374.0,914.0,831.0,1077.0,2.0,0.9246711134910583
1,1739.0,600.0,1786.0,635.0,2.0,0.7962135076522827
1,767.0,964.0,1262.0,1076.0,2.0,0.794242799282074
1,1835.0,656.0,1920.0,733.0,2.0,0.7777599096298218
1,959.0,691.0,983.0,753.0,0.0,0.7150139212608337
1,991.0,692.0,1014.0,752.0,0.0,0.7071172595024109
1,1848.0,430.0,1871.0,485.0,9.0,0.7055913805961609
1,817.0,417.0,855.0,513.0,9.0,0.6970306038856506
1,868.0,701.0,892.0,763.0,0.0,0.67276930809021
1,430.0,810.0,898.0,1012.0,7.0,0.6608708500862122
1,1518.0,616.0,1617.0,662.0,2.0,0.587030291557312
1,754.0,472.0,778.0,540.0,9.0,0.48792514204978943
1,446.0,684.0,507.0,753.0,2.0,0.4739469885826111
1,427.0,810.0,898.0,1012.0,2.0,0.4033072292804718
1,1873.0,618.0,1920.0,654.0,2.0,0.3300135135650635
1,1886.0,429.0,1911.0,463.0,9.0,0.32253479957580566
1,1827.0,586.0,1869.0,609.0,2.0,0.3007020950317383
2,323.0,922.0,791.0,1076.0,2.0,0.8818550109863281
2,768.0,965.0,1262.0,1077.0,2.0,0.7799543738365173
2,1835.0,656.0,1920.0,733.0,2.0,0.7793030738830566
2,1738.0,600.0,1785.0,635.0,2.0,0.7699481844902039
2,959.0,691.0,983.0,753.0,0.0,0.7145102620124817
2,991.0,692.0,1014.0,752.0,0.0,0.7068482041358948
2,1848.0,430.0,1870.0,485.0,9.0,0.7052283883094788
2,817.0,417.0,855.0,513.0,9.0,0.6949406862258911
2,392.0,813.0,876.0,1010.0,7.0,0.6868987679481506
2,868.0,702.0,892.0,763.0,0.0,0.674902617931366
2,1518.0,616.0,1617.0,662.0,2.0,0.5910852551460266
2,382.0,818.0,869.0,1025.0,2.0,0.48604828119277954
2,754.0,472.0,778.0,540.0,9.0,0.4858775734901428
2,445.0,685.0,505.0,752.0,2.0,0.45549288392066956
2,1873.0,619.0,1920.0,654.0,2.0,0.3301854431629181
2,1884.0,577.0,1919.0,604.0,2.0,0.3180382251739502
2,1886.0,429.0,1911.0,463.0,9.0,0.31701430678367615
2,1827.0,586.0,1875.0,610.0,2.0,0.30114251375198364
3,323.0,922.0,791.0,1076.0,2.0,0.8804388046264648
3,1835.0,656.0,1920.0,733.0,2.0,0.7791988253593445
3,768.0,965.0,1262.0,1077.0,2.0,0.778531551361084
3,1738.0,600.0,1785.0,635.0,2.0,0.770330011844635
3,959.0,691.0,983.0,753.0,0.0,0.7143561244010925
3,991.0,692.0,1014.0,752.0,0.0,0.7068889737129211
3,1848.0,430.0,1870.0,485.0,9.0,0.7052343487739563
3,392.0,814.0,876.0,1010.0,7.0,0.6978544592857361
3,817.0,417.0,855.0,513.0,9.0,0.6947215795516968
3,868.0,702.0,892.0,763.0,0.0,0.6744431853294373
3,1518.0,616.0,1617.0,662.0,2.0,0.5907100439071655
