frame id,xmin,ymin,xmax,ymax,class,score
1,420.0,813.0,893.0,1011.0,2.0,0.8403274416923523
1,375.0,910.0,831.0,1080.0,2.0,0.7807864546775818
1,1740.0,603.0,1784.0,633.0,2.0,0.7073186039924622
1,1836.0,657.0,1920.0,732.0,2.0,0.6894165277481079
1,770.0,963.0,1264.0,1076.0,2.0,0.588782548904419
1,1850.0,436.0,1872.0,488.0,9.0,0.5845252871513367
1,955.0,684.0,986.0,755.0,0.0,0.5464925765991211
1,759.0,473.0,795.0,533.0,9.0,0.5422118306159973
1,1804.0,578.0,1867.0,608.0,2.0,0.4517246186733246
1,449.0,699.0,506.0,752.0,2.0,0.4041594862937927
1,821.0,428.0,858.0,520.0,9.0,0.38484424352645874
1,1523.0,617.0,1623.0,662.0,2.0,0.3728983402252197
1,1889.0,431.0,1912.0,466.0,9.0,0.3702622652053833
1,992.0,689.0,1014.0,754.0,0.0,0.3607366383075714
1,1879.0,580.0,1920.0,606.0,2.0,0.36004361510276794
1,1878.0,612.0,1920.0,646.0,2.0,0.3451833426952362
1,1862.0,623.0,1919.0,666.0,2.0,0.3171495199203491
2,1738.0,601.0,1781.0,634.0,2.0,0.6973360776901245
2,1836.0,657.0,1920.0,732.0,2.0,0.6816019415855408
2,391.0,816.0,869.0,1019.0,2.0,0.6638572216033936
2,1850.0,437.0,1872.0,488.0,9.0,0.5784246325492859
2,331.0,920.0,785.0,1076.0,2.0,0.5541245341300964
2,955.0,684.0,986.0,755.0,0.0,0.5426230430603027
2,759.0,473.0,795.0,533.0,9.0,0.5319109559059143
2,1806.0,578.0,1866.0,608.0,2.0,0.4437248110771179
2,821.0,428.0,858.0,520.0,9.0,0.3845648765563965
2,1523.0,617.0,1623.0,663.0,2.0,0.3747026026248932
2,1889.0,431.0,1912.0,466.0,9.0,0.3628946542739868
2,1881.0,580.0,1920.0,608.0,2.0,0.3568815290927887
2,992.0,689.0,1014.0,754.0,0.0,0.34960758686065674
2,393.0,817.0,877.0,998.0,7.0,0.33924400806427
2,1879.0,611.0,1920.0,645.0,2.0,0.3363395631313324
2,770.0,959.0,1264.0,1076.0,2.0,0.31560030579566956
3,1738.0,601.0,1781.0,634.0,2.0,0.6975848078727722
3,1836.0,657.0,1920.0,732.0,2.0,0.6816198825836182
3,391.0,817.0,868.0,1019.0,2.0,0.6655948162078857
3,1850.0,437.0,1872.0,488.0,9.0,0.5785509943962097
3,333.0,920.0,786.0,1076.0,2.0,0.5673074722290039
3,955.0,685.0,986.0,755.0,0.0,0.5407401919364929
3,759.0,473.0,795.0,533.0,9.0,0.5316251516342163
3,1806.0,578.0,1866.0,608.0,2.0,0.44370323419570923
3,821.0,428.0,858.0,520.0,9.0,0.3846839368343353
3,1523.0,617.0,1623.0,663.0,2.0,0.3748694956302643
3,1889.0,431.0,1912.0,466.0,9.0,0.36306828260421753
3,1881.0,580.0,1920.0,608.0,2.0,0.35713130235671997
3,992.0,689.0,1014.0,754.0,0.0,0.3469593822956085
3,1879.0,611.0,1920.0,645.0,2.0,0.33633294701576233
3,392.0,817.0,877.0,999.0,7.0,0.3335067629814148
3,770.0,959.0,1264.0,1076.0,2.0,0.3160874545574188
4,371.0,821.0,864.0,1007.0,2.0,0.7934141159057617
4,323.0,926.0,771.0,1077.0,2.0,0.6940617561340332
4,1736.0,601.0,1781.0,635.0,2.0,0.6929135918617249
4,1836.0,657.0,1920.0,732.0,2.0,0.6820586323738098
4,762.0,959.0,1264.0,1076.0,2.0,0.5945850014686584
4,1850.0,436.0,1872.0,488.0,9.0,0.5823994874954224
4,955.0,684.0,987.0,755.0,0.0,0.5422888398170471
4,759.0,473.0,795.0,533.0,9.0,0.5391155481338501
4,1806.0,578.0,1865.0,609.0,2.0,0.44597128033638
4,821.0,428.0,858.0,520.0,9.0,0.3917096257209778
4,1523.0,617.0,1622.0,663.0,2.0,0.3805665075778961
4,1889.0,431.0,1912.0,466.0,9.0,0.3684544563293457
4,1880.0,581.0,1920.0,607.0,2.0,0.3629685938358307
4,992.0,689.0,1014.0,754.0,0.0,0.3434092700481415
4,1879.0,611.0,1920.0,645.0,2.0,0.3357342481613159
5,354.0,822.0,837.0,1012.0,2.0,0.7341908812522888
5,1737.0,602.0,1780.0,636.0,2.0,0.6967329382896423
5,1836.0,657.0,1920.0,732.0,2.0,0.6863575577735901
5,765.0,961.0,1265.0,1077.0,2.0,0.67221599817276
5,1850.0,436.0,1872.0,488.0,9.0,0.5876535177230835
5,299.0,933.0,742.0,1078.0,2.0,0.5788973569869995
5,759.0,473.0,795.0,533.0,9.0,0.538561224937439
5,955.0,684.0,986.0,755.0,0.0,0.533389151096344
5,1805.0,577.0,1865.0,608.0,2.0,0.4532463252544403
5,821.0,428.0,858.0,520.0,9.0,0.38873422145843506
5,1523.0,617.0,1622.0,663.0,2.0,0.37994125485420227
5,1889.0,431.0,1912.0,466.0,9.0,0.3742610812187195
5,1880.0,582.0,1920.0,608.0,2.0,0.35541486740112305
5,1879.0,610.0,1920.0,644.0,2.0,0.3322674334049225
5,992.0,689.0,1014.0,754.0,0.0,0.33140918612480164
6,337.0,825.0,841.0,1007.0,2.0,0.7584153413772583
6,765.0,960.0,1264.0,1077.0,2.0,0.7150352001190186
6,1836.0,657.0,1920.0,732.0,2.0,0.6834909915924072
6,1735.0,602.0,1778.0,636.0,2.0,0.658526599407196
6,1850.0,436.0,1872.0,488.0,9.0,0.583682119846344
6,290.0,943.0,713.0,1075.0,2.0,0.5570610165596008
6,955.0,684.0,987.0,755.0,0.0,0.5405049920082092
6,759.0,473.0,795.0,533.0,9.0,0.5370830297470093
6,1804.0,577.0,1865.0,608.0,2.0,0.4415566027164459
6,449.0,701.0,494.0,750.0,2.0,0.41369304060935974
6,821.0,428.0,858.0,520.0,9.0,0.3913283050060272
6,1523.0,617.0,1623.0,662.0,2.0,0.3715446889400482
6,1889.0,431.0,1912.0,466.0,9.0,0.36816641688346863
6,1880.0,582.0,1920.0,608.0,2.0,0.35556545853614807
6,992.0,689.0,1014.0,754.0,0.0,0.33405429124832153
6,1878.0,610.0,1920.0,645.0,2.0,0.33228135108947754
7,300.0,827.0,821.0,1031.0,2.0,0.7489972114562988
7,766.0,960.0,1264.0,1077.0,2.0,0.7225393056869507
7,1836.0,657.0,1920.0,732.0,2.0,0.6830481290817261
7,1735.0,602.0,1778.0,637.0,2.0,0.6582680940628052
7,1850.0,436.0,1872.0,488.0,9.0,0.5867202877998352
7,955.0,684.0,987.0,755.0,0.0,0.546420693397522
7,759.0,473.0,795.0,533.0,9.0,0.5371337532997131
7,312.0,946.0,696.0,1077.0,2.0,0.49827173352241516
7,1805.0,577.0,1867.0,609.0,2.0,0.44864797592163086
7,449.0,702.0,491.0,750.0,2.0,0.4411182701587677
7,821.0,428.0,858.0,520.0,9.0,0.3936694264411926
7,1889.0,431.0,1912.0,466.0,9.0,0.37197497487068176
7,1524.0,612.0,1669.0,661.0,2.0,0.36900386214256287
7,1881.0,581.0,1920.0,608.0,2.0,0.3618422746658325
7,992.0,689.0,1014.0,754.0,0.0,0.32995715737342834
7,1879.0,610.0,1920.0,644.0,2.0,0.32814472913742065
8,263.0,832.0,812.0,1030.0,2.0,0.7741366624832153
8,766.0,960.0,1264.0,1077.0,2.0,0.6926875114440918
8,1836.0,657.0,1920.0,732.0,2.0,0.6826823949813843
8,1850.0,436.0,1872.0,488.0,9.0,0.5842817425727844
8,1733.0,603.0,1776.0,638.0,2.0,0.570318341255188
8,955.0,683.0,987.0,755.0,0.0,0.5469477772712708
8,759.0,473.0,795.0,533.0,9.0,0.5429471731185913
8,1807.0,579.0,1867.0,610.0,2.0,0.45657891035079956
8,821.0,428.0,858.0,520.0,9.0,0.39388251304626465
8,1889.0,431.0,1912.0,466.0,9.0,0.3723065257072449
8,1523.0,617.0,1623.0,663.0,2.0,0.36894333362579346
8,1881.0,581.0,1920.0,608.0,2.0,0.36841070652008057
8,448.0,701.0,485.0,749.0,2.0,0.3551078736782074
8,992.0,688.0,1013.0,754.0,0.0,0.33023881912231445
8,1879.0,611.0,1920.0,645.0,2.0,0.32967811822891235
9,263.0,832.0,812.0,1031.0,2.0,0.7611324191093445
9,1836.0,657.0,1920.0,732.0,2.0,0.6838122606277466
9,766.0,960.0,1264.0,1077.0,2.0,0.6820293068885803
9,1850.0,436.0,1872.0,488.0,9.0,0.5832286477088928
9,955.0,683.0,987.0,755.0,0.0,0.5458489656448364
9,1733.0,604.0,1776.0,638.0,2.0,0.5450382232666016
9,759.0,473.0,795.0,533.0,9.0,0.5412458777427673
9,1807.0,579.0,1866.0,610.0,2.0,0.4581623673439026
9,449.0,701.0,485.0,748.0,2.0,0.3946974575519562
9,821.0,428.0,858.0,520.0,9.0,0.39289379119873047
9,1881.0,581.0,1920.0,607.0,2.0,0.3747217357158661
9,1889.0,431.0,1912.0,466.0,9.0,0.3712281584739685
9,1523.0,617.0,1623.0,663.0,2.0,0.3671131432056427
9,243.0,960.0,650.0,1079.0,2.0,0.3335373103618622
9,1879.0,611.0,1920.0,645.0,2.0,0.3296114504337311
9,992.0,688.0,1013.0,754.0,0.0,0.3275042176246643
10,244.0,835.0,800.0,1020.0,2.0,0.8087824583053589
10,1836.0,657.0,1920.0,732.0,2.0,0.6875280737876892
10,766.0,959.0,1264.0,1078.0,2.0,0.6858757138252258
10,1850.0,436.0,1872.0,488.0,9.0,0.5878874063491821
